,Artist,Title,emotion,calm,sorrow,power,joy,romance
0,Lauren Daigle,You Say ,calm,0.2,0.75,0.00067515,0.00053577,0.9824197
1,The Staves,Nothing's Gonna Happen,calm,0.4,0.7282315,0.18349634,0.3,0.05
2,The War On Drugs,Living Proof,calm,0.8,0.18197379,0.786336,0.1,0.1
3,Foy Vance,Sapling,calm,0.005520793,0.35,0.1,0.011016911,0.8344274
4,Birdy,Surrender,calm,0.5,0.25,0.006504874,0.05,0.7464913
5,SYML,Symmetry,calm,0.85,0.1,0.14759296,0.026161017,0.05
6,"William Orbit, Polly Scattergood",Colours Colliding,calm,0.028007163,0.03875028,0.75428045,0.4,0.6
7,JC Stewart,Break My Heart ,calm,0.18768431,0.4659908,0.5,0.25,0.1532691
8,Jónsi,Exhale,calm,0.5,0.928416,0.024868047,0.4,0.1
9,Shaefri,Say You'll Be There ,calm,0.006403629,0.16575351,0.4,0.35,0.8085645
10,Maisie Peters,Feels Like This,calm,0.7,0.25,0.000233578,0.004549823,0.9895421
11,RY X,Berlin,calm,0.95,0.123987794,0.024560308,0.53893393,0.13022731
12,Patricia Lalor,13th of January,calm,0.65,0.4996612,0.23151562,0.25,0.032006513
13,Abraham Marder,Green,calm,0.01534983,0.29149657,0.21815962,0.13283253,0.75
14,EVER,Counting Flowers,calm,0.15,0.2,0.2,0.4,0.9450577
15,SYML,Where's My Love,calm,0.65,0.9066516,0.005956597,0.00275827,0.15
16,Garrett Kato,Distant Land,calm,0.45,0.4,0.038379952,0.06952247,0.77891445
17,JFDR,Shimmer,calm,0.55,0.3,0.05,0.40638757,0.1
18,LÉON,Head And Heart On Fire,calm,0.45,0.688058,0.21362798,0.021254087,0.15
19,Birdy,Loneliness,calm,0.05,0.6,0.1,0.1,0.9226884
20,The Staves,Nazareth,calm,0.85,0.05,0.09576164,0.7806662,0.1
21,Ben Howard,Promise,calm,0.55,0.28041378,0.04516386,0.010200419,0.6471717
22,Sufjan Stevens,Mystery of Love,calm,0.8,0.2,0.39594364,0.24758436,0.037668157
23,Jasmine Thompson,loyal,calm,0.1,0.1,0.1,0.25,0.9892028
24,Alice Boman,Waiting,calm,0.9,0.018814988,0.004506507,0.1,0.93024457
25,Clara Mae,Loved You Once,calm,0.35,0.15,0.002570481,0.5,0.95318615
26,Delmer Darion,Television,calm,0.14749826,0.1,0.56763554,0.35,0.5
27,Sam Ryder,Whirlwind,calm,0.65,0.25,0.007762201,0.085923634,0.90167546
28,Beta Radio,Our Remains,calm,0.9,0.51483244,0.049631998,0.013845312,0.40932432
29,Damien Rice,The Blower's Daughter,calm,0.9,0.23505276,0.05,0.002379616,0.7543798
30,The Low Anthem,Charlie Darwin,calm,0.95,0.044929873,0.098801576,0.16865791,0.000872561
31,The Paper Kites,Arms,calm,0.9,0.05,0.000388825,0.000537104,0.9927926
32,Christina Perri,A Thousand Years,calm,0.8,0.2,0.003015842,0.001558311,0.9434742
33,The Staves,Make It Holy,calm,0.95,0.46589142,0.004765396,0.003104231,0.5198009
34,Coldplay,We Never Change,calm,0.2789562,0.1,0.3,0.36979213,0.55
35,Wilco,Please Be Patient with Me,calm,0.9,0.1,0.005355617,0.002523791,0.9391597
36,"Frightened Rabbit, Julien Baker",How It Gets In (feat. Julien Baker),calm,0.113845095,0.5,0.62483925,0.22201484,0.4
37,Birdy,Skinny Love,calm,0.4,0.45,0.25788262,0.5093469,0.086573675
38,Harrison Storm,Sense of Home,calm,0.95,0.9439405,0.013934527,0.002465821,0.011067269
39,Olivia Chaney,IOU,calm,0.45,0.45,0.003105776,0.003311802,0.95671433
40,Florist,Glowing Brightly,calm,0.25,0.4,0.020782325,0.25,0.45846036
41,LÉON,Come Home To Me,calm,1,0.36533195,0.003834013,0.002221205,0.6229205
42,Maisie Peters,Birthday,calm,0.6,0.22455958,0.14355204,0.15,0.12768398
43,Linying,Self Control,calm,0.8,0.04602876,0.05,0.002030147,0.9486034
44,Dua Lipa,Homesick,calm,0.8,0.15,0.05,0.005272276,0.8987035
45,Dan Caplen,Love Me the Same,calm,0.1,0.7,0.1,0.05,0.88758016
46,Yore,Desperate Measures,calm,0.55,0.062501624,0.88532907,0.05,0.002312268
47,Sturgill Simpson,Breakers Roar,calm,0.7,0.2,0.016533133,0.14680114,0.4598245
48,Finn Andrews,My Lotus Flower & Me,calm,0.8,0.003173973,0.08441616,0.8989713,0.2
