,Artist,Title,emotion
0,Lauren Daigle,You Say ,calm
1,The Staves,Nothing's Gonna Happen,calm
2,The War On Drugs,Living Proof,calm
3,Foy Vance,Sapling,calm
4,Birdy,Surrender,calm
5,SYML,Symmetry,calm
6,"William Orbit, Polly Scattergood",Colours Colliding,calm
7,JC Stewart,Break My Heart ,calm
8,Jónsi,Exhale,calm
9,Shaefri,Say You'll Be There ,calm
10,Maisie Peters,Feels Like This,calm
11,RY X,Berlin,calm
12,Patricia Lalor,13th of January,calm
13,Abraham Marder,Green,calm
14,EVER,Counting Flowers,calm
15,SYML,Where's My Love,calm
16,Garrett Kato,Distant Land,calm
17,JFDR,Shimmer,calm
18,LÉON,Head And Heart On Fire,calm
19,Birdy,Loneliness,calm
20,The Staves,Nazareth,calm
21,Ben Howard,Promise,calm
22,Sufjan Stevens,Mystery of Love,calm
23,Jasmine Thompson,loyal,calm
24,Alice Boman,Waiting,calm
25,Clara Mae,Loved You Once,calm
26,Delmer Darion,Television,calm
27,Sam Ryder,Whirlwind,calm
28,Beta Radio,Our Remains,calm
29,Damien Rice,The Blower's Daughter,calm
30,The Low Anthem,Charlie Darwin,calm
31,The Paper Kites,Arms,calm
32,Christina Perri,A Thousand Years,calm
33,The Staves,Make It Holy,calm
34,Coldplay,We Never Change,calm
35,Wilco,Please Be Patient with Me,calm
36,"Frightened Rabbit, Julien Baker",How It Gets In (feat. Julien Baker),calm
37,Birdy,Skinny Love,calm
38,Harrison Storm,Sense of Home,calm
39,Olivia Chaney,IOU,calm
40,Florist,Glowing Brightly,calm
41,LÉON,Come Home To Me,calm
42,Maisie Peters,Birthday,calm
43,Linying,Self Control,calm
44,Dua Lipa,Homesick,calm
45,Dan Caplen,Love Me the Same,calm
46,Yore,Desperate Measures,calm
47,Sturgill Simpson,Breakers Roar,calm
48,Finn Andrews,My Lotus Flower & Me,calm
49,Monica Heldal,Follow You Anywhere,calm
50,Mountain Man,Baby Where You Are,calm
51,Johanna Warren,Black Moss,calm
52,Dido,Give You Up,calm
53,Neil Young,Heart of Gold - 2009 Remaster,calm
54,RY X,YaYaYa,calm
55,The Sweeplings,Across the Sea,calm
56,Rosemary & Garlic,Old Now,calm
57,Aisha Badru,Waiting Around - Acoustic,calm
58,Lake Street Dive,I Can Change,calm
59,Mountain Man,"Take Me Home, Country Roads",calm
60,The Low Anthem,To Ohio,calm
61,Brandi Carlile,Every Time I Hear That Song,calm
62,Brett Dennen,Where We Left Off,calm
63,Jeff Tweedy,In A Future Age,calm
64,Old Sea Brigade,Tidal Wave ,calm
65,Aisha Badru,Bridges ,calm
66,Gem Club,Twins,calm
67,Ben Platt,Grow As We Go,calm
68,Charlie Cunningham,Headlights,calm
69,Matt Maeson,I Just Don't Care That Much - Stripped,calm
70,Winnie Raeder,Don't You Dare,calm
